iter	RMSE
248	22341.02087
249	22290.9519
250	22254.44188
251	22178.55684
252	22152.34806
253	22150.63606
254	22114.37057
255	22029.84435
256	21990.75835
257	21972.25212
258	21970.68674
259	21969.06256
260	21919.20571
261	21891.94296
262	21856.31643
263	21828.493
264	21822.33457
265	21764.71624
266	21747.85182
267	21734.08343
268	21701.31254
269	21668.3214
270	21600.51668
271	21580.31508
272	21548.54511
273	21542.94678
274	21517.43102
275	21500.18181
276	21494.48685
277	21463.58222
278	21400.44393
279	21355.38165
280	21305.06821
281	21303.76248
282	21276.23735
283	21257.42469
284	21227.84937
285	21165.32292
286	21137.87025
287	21133.26342
288	21109.91712
289	21075.81457
290	21048.09824
291	21044.39576
292	21040.2192
293	21027.1814
294	21004.93815
295	20982.0317
296	20955.71849
297	20935.11521
298	20913.44052
299	20859.21262
300	20833.03997
301	20803.01552
302	20801.73012
303	20766.4388
304	20751.57002
305	20748.12665
306	20718.10302
307	20716.15575
308	20660.92538
309	20646.19358
310	20644.33436
311	20635.28669
312	20623.50851
313	20599.49621
314	20556.15604
315	20516.47738
316	20512.99004
317	20477.65099
318	20448.55688
319	20425.24451
320	20412.04799
321	20399.32652
322	20391.36679
323	20349.10021
324	20311.09039
325	20309.81365
326	20294.32121
327	20291.13167
328	20271.09105
329	20220.65532
330	20196.52911
331	20188.34067
332	20155.87849
333	20134.62117
334	20109.90259
335	20108.45743
336	20093.32777
337	20073.08667
338	20054.25402
339	20043.06429
340	20009.53608
341	19993.91212
342	19968.08589
343	19958.17076
344	19931.18535
345	19928.3994
346	19907.28523
347	19889.16804
348	19866.81784
349	19847.47886
350	19834.91229
351	19820.09113
352	19774.74592
353	19757.08576
354	19754.5808
355	19726.37266
356	19716.15756
357	19688.15982
358	19671.01014
359	19651.04676
360	19633.29478
361	19610.96737
362	19609.7113
363	19586.07652
364	19571.96327
365	19552.86029
366	19539.59072
367	19524.9451
368	19523.57864
369	19481.6116
370	19456.89612
371	19436.45983
372	19430.02409
373	19408.28563
374	19400.38877
375	19387.06369
376	19383.98112
377	19360.37789
378	19346.87337
379	19323.78218
380	19311.44025
381	19293.37447
382	19280.3197
383	19264.32327
384	19253.12812
385	19230.97378
386	19222.32276
387	19209.74814
388	19208.26413
389	19192.94561
390	19190.56226
391	19189.0833
392	19168.86089
393	19154.14724
394	19153.22678
395	19147.44056
396	19131.72549
397	19109.15327
398	19076.83726
399	19053.66942
400	19052.80644
401	19032.3325
402	19009.96039
403	18994.78179
404	18993.00872
405	18973.84951
406	18962.12403
407	18948.04506
408	18932.1169
409	18915.95637
410	18898.5763
411	18890.58325
412	18877.82472
413	18870.01896
414	18869.13492
415	18833.6784
416	18825.67109
417	18814.44601
418	18803.18832
419	18792.57022
420	18791.93148
421	18773.19864
422	18758.2976
423	18751.15269
424	18733.17634
425	18715.1324
426	18682.84095
427	18665.29668
428	18658.64753
429	18647.28291
430	18643.1017
431	18631.81084
432	18622.24356
433	18612.07559
434	18596.81604
435	18582.3162
436	18562.55088
437	18551.85021
438	18541.70336
439	18518.71416
440	18505.84454
441	18495.64563
442	18472.73901
443	18432.17833
444	18422.68111
445	18414.42396
446	18401.64927
447	18392.8961
448	18375.76037
449	18368.74442
450	18356.42934
451	18352.78886
452	18350.99183
453	18338.35562
454	18331.09723
455	18317.72414
456	18302.6694
457	18287.589
458	18276.08397
459	18275.42421
460	18266.4951
461	18259.62899
462	18241.20852
463	18225.16845
464	18221.85204
465	18210.65572
466	18202.83441
467	18168.79982
468	18156.87125
469	18143.82069
470	18135.4116
471	18122.99536
472	18110.39849
473	18094.89453
474	18082.98522
475	18069.54281
476	18059.39149
477	18047.89902
478	18040.4787
479	18033.16169
480	18019.69646
481	18008.49949
482	18006.01907
483	17992.19431
484	17981.89916
485	17965.61645
486	17958.98968
487	17951.68038
488	17949.13509
489	17940.52607
490	17927.8224
491	17920.72241
492	17913.38324
493	17910.4168
494	17901.2978
495	17885.12692
496	17873.05366
497	17861.40313
498	17853.72112
499	17842.86774
500	17831.85151
501	17825.16634
502	17820.0451
503	17811.86158
504	17810.77062
505	17799.96476
506	17792.43232
507	17781.62584
508	17780.75019
509	17774.29261
510	17766.19473
511	17763.16142
512	17754.62883
513	17752.77699
514	17734.71772
515	17720.07713
516	17691.73402
517	17682.06288
518	17674.02517
519	17663.37117
520	17647.48433
521	17640.97391
522	17617.02471
523	17611.19563
524	17604.45515
525	17596.10003
526	17584.51381
527	17580.84445
528	17567.63121
529	17563.07883
530	17551.73247
531	17548.44383
532	17534.38324
533	17523.96704
534	17513.68255
535	17504.28547
536	17500.01298
537	17499.46569
538	17489.716
539	17478.69119
540	17473.06408
541	17459.30325
542	17453.48097
543	17443.28528
544	17418.73012
545	17416.19893
546	17415.71202
547	17415.09092
548	17404.84263
549	17391.05609
550	17380.99627
551	17376.30546
552	17374.35198
553	17367.50191
554	17353.04972
555	17344.75562
556	17330.90158
557	17318.09863
558	17309.26716
559	17304.59215
560	17299.1069
561	17283.93383
562	17260.35444
563	17251.09283
564	17238.7815
565	17227.93136
566	17218.34217
567	17205.0105
568	17198.02056
569	17188.54133
570	17180.82666
571	17178.44742
572	17173.06652
573	17169.4764
574	17153.85292
575	17147.58341
576	17147.09988
577	17128.38618
578	17127.67467
579	17112.48937
580	17101.55455
581	17087.51065
582	17084.29532
583	17082.78791
584	17077.99171
585	17073.72076
586	17073.145
587	17062.82339
588	17055.89104
589	17047.14231
590	17039.00219
591	17038.38987
592	17031.67513
593	17026.65309
594	17015.01731
595	17009.42791
596	17006.56092
597	16996.14767
598	16990.72156
599	16986.22243
600	16974.84609
601	16969.31513
602	16967.33072
603	16957.98113
604	16952.2658
605	16951.58245
606	16943.58379
607	16935.73307
608	16923.76058
609	16913.70399
610	16902.52663
611	16892.13637
612	16880.22011
613	16866.2835
614	16865.68536
615	16858.8335
616	16858.18236
617	16847.25043
618	16838.90415
619	16832.21534
620	16825.25544
621	16818.0963
622	16809.87045
623	16803.11173
624	16794.09813
625	16781.47703
626	16775.94871
627	16771.71807
628	16762.36994
629	16761.65759
630	16761.29974
631	16759.17972
632	16756.25995
633	16749.37485
634	16742.84214
635	16737.29404
636	16736.64714
637	16730.39723
638	16725.47905
639	16716.96014
640	16694.92781
641	16687.35916
642	16675.36874
643	16666.84593
644	16662.47565
645	16657.76055
646	16656.71086
647	16650.79658
648	16638.93995
649	16630.53218
650	16623.35353
651	16618.61697
652	16613.43407
653	16600.26868
654	16593.99026
655	16586.53943
656	16577.61856
657	16571.25859
658	16559.89045
659	16553.13984
660	16540.88815
661	16530.83794
662	16522.39665
663	16522.00469
664	16514.2327
665	16507.31093
666	16496.94303
667	16488.69737
668	16484.79952
669	16484.16862
670	16471.65936
671	16469.96416
672	16464.00894
673	16463.44371
674	16457.39506
675	16447.17801
676	16441.21276
677	16435.1915
678	16425.5878
679	16419.42738
680	16408.67216
681	16399.61896
682	16392.96391
683	16392.5278
684	16381.08981
685	16375.68797
686	16367.42397
687	16359.45996
688	16351.43114
689	16341.52345
690	16330.67839
691	16330.33675
692	16329.82336
693	16324.24939
694	16315.97467
695	16315.4803
696	16308.29212
697	16300.15225
698	16286.18909
699	16279.94022
700	16266.55353
701	16262.00275
702	16261.72988
703	16260.96908
704	16257.19282
705	16248.57316
706	16241.34892
707	16240.94174
708	16235.68764
709	16226.0185
710	16224.7227
711	16219.99077
712	16215.47522
713	16210.80015
714	16209.32114
715	16204.76459
716	16198.81215
717	16192.58746
718	16191.14818
719	16178.7837
720	16178.44959
721	16172.85525
722	16168.40619
723	16167.15995
724	16161.97139
725	16154.84825
726	16150.90803
727	16150.53046
728	16145.45406
729	16138.49028
730	16129.80445
731	16116.64907
732	16108.92086
733	16096.55625
734	16094.86782
735	16089.31535
736	16085.57444
737	16080.52909
738	16076.33657
739	16070.58567
740	16070.19744
741	16060.09916
742	16053.07919
743	16049.15263
744	16042.44909
745	16037.34756
746	16032.08919
747	16022.29679
748	16012.5978
749	16008.64892
750	15999.09325
751	15992.23993
752	15983.8766
753	15976.69491
754	15971.64467
755	15965.72318
756	15965.43857
757	15957.36696
758	15951.52892
759	15943.55794
760	15939.3864
761	15933.55093
762	15933.15904
763	15932.70543
764	15930.93987
765	15928.99478
766	15924.87686
767	15920.79071
768	15911.83326
769	15906.84543
770	15904.92369
771	15899.62063
772	15895.66702
773	15891.54496
774	15884.50581
775	15880.44586
776	15880.15878
777	15874.15323
778	15867.92181
779	15858.33001
780	15854.54224
781	15850.77307
782	15847.82932
783	15843.04812
784	15835.85303
785	15833.5246
786	15825.98558
787	15823.0599
788	15812.62686
789	15812.32984
790	15809.1867
791	15808.8368
792	15799.77516
793	15791.89154
794	15783.09758
795	15775.14764
796	15770.9479
797	15765.10917
798	15759.39386
799	15756.58263
800	15746.98415
801	15745.16359
802	15737.84472
803	15731.5009
804	15727.70568
805	15727.46949
806	15724.51716
807	15719.06907
808	15714.65397
809	15710.87875
810	15708.65824
811	15700.86328
812	15693.62045
813	15691.11737
814	15685.41347
815	15682.15197
816	15679.58984
817	15676.85066
818	15674.33366
819	15662.80693
820	15658.20602
821	15657.94418
822	15651.36838
823	15645.19366
824	15638.6064
825	15634.61922
826	15631.83887
827	15624.3377
828	15624.04522
829	15612.67921
830	15606.02338
831	15602.08538
832	15598.01551
833	15595.20813
834	15594.85391
835	15594.57216
836	15580.15059
837	15576.7213
838	15576.42042
839	15576.14695
840	15566.62304
841	15566.33061
842	15565.064
843	15559.04777
844	15551.66222
845	15546.55094
846	15539.84323
847	15537.5244
848	15532.92514
849	15532.69261
850	15528.79713
851	15522.14709
852	15516.69709
853	15508.42273
854	15508.1573
855	15502.03902
856	15492.0296
857	15486.11061
858	15485.52758
859	15479.3081
860	15473.61539
861	15470.18554
862	15466.14311
863	15459.76795
864	15456.63717
865	15454.13325
866	15451.05875
867	15439.80377
868	15436.18778
869	15425.96577
870	15422.10887
871	15419.4674
872	15410.24982
873	15404.78953
874	15401.91244
875	15389.19204
876	15382.22389
877	15373.38458
878	15371.62149
879	15369.91362
880	15364.90634
881	15359.20667
882	15355.96575
883	15349.58489
884	15348.00669
885	15343.12148
886	15340.52581
887	15336.08169
888	15330.27946
889	15329.39744
890	15326.49534
891	15317.52493
892	15310.55816
893	15302.49662
894	15289.8797
895	15282.72712
896	15279.51636
897	15274.98469
898	15269.20799
899	15265.35175
900	15263.04962
901	15257.6231
902	15254.14516
903	15252.53477
904	15249.52654
905	15245.94634
906	15243.06709
907	15242.80296
908	15232.63496
909	15225.05958
910	15224.77709
911	15216.99247
912	15212.88658
913	15210.33739
914	15208.70775
915	15207.19822
916	15204.38468
917	15195.76979
918	15193.00857
919	15188.98083
920	15181.60619
921	15167.60069
922	15157.2272
923	15154.97432
924	15154.71047
925	15154.43257
926	15149.61651
927	15141.29341
928	15137.27419
929	15136.25379
930	15136.0159
931	15133.34494
932	15124.99816
933	15120.27232
934	15113.06062
935	15103.17823
936	15099.8013
937	15095.97459
938	15095.56755
939	15085.8188
940	15081.18244
941	15076.30841
942	15071.15219
943	15068.20351
944	15067.97501
945	15064.04264
946	15055.7635
947	15050.44027
948	15040.26985
949	15040.07118
950	15037.27738
951	15028.10999
952	15022.57571
953	15014.86764
954	15003.68057
955	14997.76516
956	14996.72925
957	14994.41475
958	14985.89874
959	14980.12232
960	14973.406
961	14972.78508
962	14972.60183
963	14964.09423
964	14959.19164
965	14953.92457
966	14951.5885
967	14950.94776
968	14945.81621
969	14944.78818
970	14939.81571
971	14937.12433
972	14932.69325
973	14928.42833
974	14924.64315
975	14917.21357
976	14917.0561
977	14911.26267
978	14907.04607
979	14906.77843
980	14905.02675
981	14900.71931
982	14894.75545
983	14892.35225
984	14883.78096
985	14879.28881
986	14872.57506
987	14868.08688
988	14865.28304
989	14861.53481
990	14857.73764
991	14855.14184
992	14851.00653
993	14848.4677
994	14843.85648
995	14843.68921
996	14837.25009
997	14830.30999
998	14828.25975
999	14821.60831
